Review;Class
"I had my expectations pretty high, but Prashant Neel breached my expectations and the movie was on a whole different level.
Yash is a beast,his style, attitude,swag were all on a different level altogether.
Technically movie is strong, bhuvan gowda's cinematography was extraordinary, and Ravi Basrur's background music was top notch.
I personally liked Raveena Tandon a lot, her dialogue delivery was excellent and had a great screen presence.
Sanjay Dutt proved why is the best antagonist in film industry at present.";POSITIVE
"Supercalifragilisticexpialidocious
Only this word defines the movie.
Goosebump in every scene of the movie .
The movie was fantastic. Everyone acted very well in the movie. VFX and Graphics in the movie was amazing. Songs and BGM in the movie was superb. Amazing movie.
";POSITIVE
"Chapter 1 was better! (Just my opinion)
Personally, I enjoyed chapter 1 more than this chapter, because of the suspense they created and the planning to kill garuda and the way the hero kills garuda alone. That's just entirely on a different level. Admiral was also a good villain but the fight was normal as we expect from south Indian cinema";NEGATIVE
"Goosebumps overloaded!!
The screenplay, cuts and sound effects deserves a standing ovation. There are illogical moments but that don't take away you, because the Director keeps you invested in the 'state of disbelief' and that is the success of this movie. There is hardly any sugarcoating to the criminal angle of Rocky, and it is more of a man with a promise to fulfill. Kudos to the entire cast and crew for a honest 'masala movie'!!";POSITIVE
"The Finest Part 2 ever
This will go down as the greatest Indian films ever, Storyline was more sublime than ever Grand performance from Yash, bit illogical fights but yes anything comes under fiction and if you're getting a story like this then nothing comes close KGF 2 - surely A MASTERPIECE";POSITIVE
"Just outstanding .....
Mindblownnnnn!!! What I saw on screen was the conviction and hardwork of the entire team that has worked with so much passion!! 👏🏻👏🏻👏🏻 Congrats on the well deserved humongous success.

BONAFIDE BLOCKBUSTER KGF2 is RAW, Intense, Powerful & a Mind Blowing film,#Yash officially enters the PAN INDIA Superstar league,Studded with BRILLIANT action scenes & characters to remember.".";POSITIVE
"Most Honest Review:: Over The Top, Over Dramatic and Overrated!!
KGF was the most awaited movie after the success of 1st chapter and the sequel is getting way better response. But when I compare to many other south action/drama flicks it is over the top in all areas. Acting is average, direction is avg, screenplay average and story is basically inspired by many other movies like Scarface, Agneepath etc etc. The only thing I liked about this movie is music and BGM. And for this only reason you can watch it in the cinema halls.";NEGATIVE
"Overrated
KGF 2 is overrated. Only Sanjay Dutt made it look like a real gangster movie, rest everything was in slow motion, too much heroic shots for the hero, the biggest drawback of South Indian movies. Also didn't connect with the hype that kgf has the deepest secret in chapter two.";NEGATIVE
"Cringe

Some bomb massala action thriller in which hero worshiping is done. Poor storyline and zero logic [don’t tell me that movies don’t require logic, if that was the case, Radhe should have been the best movie].

KGF Chapter-1 was pretty decent, the storyline seemed good and engaging, the dialogues were cringe but were good. But in Chapter-2 the dialogues are just so cringe and Rocky’s talking style is just worse and makes his character looks so bad.

Do the south movies get a free pass to show any amount of cringe in their movie unlike their bollywoood counterparts. Rocky shooting at police jeeps even leading one of them high in air, isn’t this illogical as hell. I bet if this would have been done in a Bollywood movie, the actor would have been mercilessly trolled.

Garuda leaving rocky alive and then rocky leaving Garuda alive haven’t we seen this a lot before. Prashant Neel literally did this to continue the story. To be honest even Sanjay Dutt didn’t excite me as a villan, though he acted good but he couldn’t leave a mark but his dialogues were awesome.

The car chase scene where every aspect of physics was ignored and the VFX in that scene were so poor.

Rocky entering parliment made my brain explode. No security for parliment, where are the Marshals, where is the SPG. Is he rocky or a terrorist of 2001 parliment attacks.

Ravina Tandon’s acting seemed expressionless with mediocre dialogues.

Srinidhi Shetty was wasted just like in the first part

And the last scene where the Indian navy, Indonesian navy and US navy all three come to just kill Rocky. FIrst of all Indonesian navy cannot come out of it’s territorial waters they don’t have big maritime navy zones. Secondly the KGF director wants to say that literally US navy stationed in Taiwan or Japan would come just for a merchat ship.

And please don’t tell me he came alive out of literal missile attack.

KGF Chapter-2 is just heropanti but with a bigger budget. Both have weak storyline and hero whorshipping with a foolish villan. But due to this anti-bollywood narrative, KGF got the pass. Karan Johan right said that South movies get the pass by audience to do anything where bollywood movies are the epicenter of hate when they do the same.

In a nutsell the sequel didn’t do justice to chapter-1 and wasn’t upto the mark as per me. Nevertheless it’s still a massala thriller which will excite 10 year old boys who will do shadow fighting copying his steps.";NEGATIVE
"KGF 2 is a masterpiece
KGF 2 is a masterpiece. The movie is a visual treat. The action sequences are mind-blowing. The performances of Yash and Sanjay Dutt are outstanding. The music and background score are top-notch. The cinematography is breathtaking. The movie has a gripping storyline that keeps you engaged throughout. The direction by Prashanth Neel is commendable. Overall, KGF 2 is a must-watch for all movie lovers. It sets a new benchmark for Indian cinema.";POSITIVE
